krama,ngoko
kadidene prabu kresna saha satriya,kaya prabu kresna lan satria
ing pringgadani duk ing jaman purwa,ing pringgadani duk ing jaman purwa
langkung langkung kagunanipun bangsa eropah,luwih luwih kagunan  bangsa eropa
ingkang maedahi dhateng sadhengah tiyang,sing nguntungake kanggo sadhengah wong
pinten tiyang ingkang taksih kiyat,pinten wong sing isih kuwat
taksih bening utekipun badhe boten,isih bening pikiran   bakal ora
kangge babarpisan jalaran paningalipun sampun,kanggo pisanan amarga pandangane wis
suda manawi boten wonten para,mudhun yen ora ana para
punjul gadhah akal damel tismak,pinter sing duwe akal kanggo nggarap
bangsa walandi kathah ingkang ngwedharaken,bangsa walanda akeh sing nyebarake
pamanggihipun bab pranataning paprentahan kawrat,pemikirane bab pranataning pamar ntahan
ing serat kabar utawi sanesipun,ing serat kabar utawa liyane
pundi ingkang sae kaanggep nagari,pundi sing apik dianggep nagara
katrapaken adamel indhaking saenipun pranatan,diterapake kanggo nggawe aturan sing becik
pangrehing praja ingkang kirang prayogi,pengaturan praja sing kurang pantes
kacacad ing serat kabar parentah,kacathet ing serat kabar pamar ntah
kaelikaken tuwin dipun caosi rembag,keelyaken lan dipun rembag
sae medal saking manah suci,apik metu saka ati suci
amurih sampun ngantos kalajeng dados,agar ora nganti keliru dadi
pituna dhateng kawulanipun,beban kanggo kawulane
menggah lelabuhing bangsa kulit pethak,menggah lelabuhan bangsa kulit putih
dhateng sasamining tumitah kathah purugipun,dheweke ngupaya tumitah akeh purugine
kados ta para zendeling tiyang,kaya para zendeling wong
jawi mastani pandhita,jawi mastani pandhita
kula sampun nate mondhok ing,aku wis nate manggon ing
griyanipun para sendheling ngantos sawatawis dinten,omah  para zendeling nganti sawetara dina
ing ngriku kula sumerep anggenipun,ing kono aku weruh caran
ngupakara tiyang sakit terkadhang tiyang,nulung wong sing lara  kadang wong
ingkang nandhang memala anggegirisi,sing nandhang lara nggetuni
tiyang punika sami dipun garap,wong wong iki kabeh digarap
boten mawi taha taha kathah,ora nganggo cara akeh akeh
ingkang dados sarasipun tur ingkang,sing dadi tulungane lan sing
mlarat dipun sukani tedha,mlarat diwenehi pangan
kula gadhah pitepangan dhokter sendheling,aku duwe kenalan dokter zendeling
manawi tetulung tiyang kadosdene dhateng,yen nulungi wong kaya ngono kaya
anakipun piyambak tuwanipun anggarap ingkang,anak  dhewe sing ora gampang nulungi
angel angel nyonyahipun ngupakara,susah banget nyonggo utawa ngurusake
ingkang gampil prasasat ngantos supe,sing gampang rasane nganti kowe
dhateng badanipun piyambak,nerusake badanmu dhewe
saupami tuwan dhokter punika purun,yen dokter mau gelem
manggen ing kitha ageng anjampeni,tinggal ing kutha gedhe  nampani
tiyang ingkang saged ambayar beya,wong sing bisa mbayar biaya
kados sampun sugih sanget nanging,kayane wis sugih banget nanging
saking kaderengipun dhateng pandamel sae,saking kaderengipun dhateng pandamel sae
boten gadhah melik dhateng kasugihan,ora duwe kekayaan
malah ambucal dhiri tunggil kalihan,malah ngorbanake awak  dh w
sasamining tumitah ingkang kanelangsan,sing padha ngalami nasib
kajawi tetulung tiyang sakit para,kajaba tulung marang wong sing lara  para
sendheling angudi dhateng kasagedanipun lare,sendheling ngupaya kanggo kemampuan  anak anak
ingkang sampun kapasrahaken dhateng piyambakipun,sing wis diserahake marang dh w
awit umur taun kagulang resikan wicantenan dolanan,wiwit umur taun kagulang resikan wicantenan dolanan
wiwit umur taun kagulang kawruh,wiwit umur taun kagulang kawruh
pamulangan supados sageda gadhah engetan,pamulangan supaya bisa nduw  memori
ingkang migunani dhateng gesangipun,sing migunani kanggo urip
inggih sadaya punika lantaran anggenipun,ya kabeh mau amarga cara
ngrimuk supados tiyang jawi mlebet,ngrembakakake supaya wong jawa mlebu
agami srani nanging sinten ingkang,agama kristen nanging sapa sing
boten purun boten kapeksa,ora gelem  ora kepaksa
wangsul tiyang arab pangrimukipun dhateng,wangsul wong arab pangrembakane marang
tiyang ingkang badhe dados islam,wong sing bakal dadi islam
boten mawi lelabuh sae malah,ora nganggo cara sing becik malah
tiyang jawi manggih kapitunan sasumerep,wong jawa ketemu kapitunan sajroning
kula wulangipun tiyang arab ingkang,kula ngajari wong arab sing
kenceng sanget bab jakat sedhekah,kuat banget babagan zakat sedekah
pitrah tiyang ingkang kekah piandelipun,pitrah wong sing akeh kapercayan
dhateng gusti allah boten prelu simpen yatra,marang gusti allah ora perlu nyimpen harta
wusana tiyang arab damelipun namung,wenehna wong arab nggawe kaya
nglempakaken donya sarana nampeni sidhekah,ngumpulake donya liwat nampa sedekah
saking tiyang jawi tuwin nganakaken yatra,saka wong jawa terus menehi yatra
manawi sampun sugih lajeng ngejor,manawa wis sugih banjur ngejar
hawanipun dhateng estri,keinginan marang wanita
pundi wonten bangsa arab ingkang,endhi ana bangsa arab sing
kaanggep kramat dhateng tiyang jawi,dianggep keramat marang wong jawa
boten gadhah griya sae kados,ora duwe omah sing apik kaya
kraton makaten punika bojonipun terkadhangan,kraton  kaya ngono bojone kadang
langkung sakawan tumpakanipun kareta peni,luwih saka papat tumpakan  kereta pen
katarik ing kapal ageng ageng,keseret kapal gedh  gedh
saking pamanggihipun para arab tiyang,saking pamanggihipun para arab tiyang
jawi boten prelu sakolah mindhak,jawa ora perlu sekolah nambah
katuntun dhateng maksiyatan,katuntun marang maksiyat
ing pundi panggenan kathah arabipun,ing ngendi panggonan akeh arab
tiyang jawi kaingsep ngantos telas,wong jawa kepleset nganti entek
rah tuwin sungsumipun,rah lan sumsum
sampeyan dalem ingkang sinuhun ing,sampeyan dalem ingkang sinuhun ing
ngayogyakarta ngabdurahman sayidin panatagama kalipatolah,yogyakarta ngabdurahman sayidin panatagama kalipatolah
aparing pasiten dhateng para walandi,aparing pitulungan marang para walandi
pangurusing griya sakit ing kitha,ngurus rumah sakit ing kutha
ngayogya minangka panggenan ngedegaken griya,yogya minangka panggonan kanggo ngadegake rumah
griya ingkang prelu kangge mulasara tiyang sakit,rumah sing perlu kanggo ngrawat wong sakit
walandi punika tujuning manah damel,walandi kuwi tujuane tenanan ngelakoni
sae inggih akanthi melik,sa  yaiku duw
supados tiyang jawi puruna lumebet agami srani,supaya wong jawa gelem mlebu agama kristen
punapa kadarman dalem wau cihna,apa dadi sebab dalem kuwi
saking karsa dalem ambombong dhateng,saking karep dalem ngatur marang
para walandi punika,para walandi kuwi
saking pamanggih kula boten sampeyan,saking pamanggihku ora sampeyan
dalem kados boten anggalih prakawis,dalem kaya ora mikir perkara
agami ingkang kagalih namung kasaenanipun,agama sing kudu dipikirake mung kabecikan
para walandi purun ngrimat tiyang,para walandi gelem nampani wong
jawi ingkang nandhang papa cintraka,jawa sing ngalami susah banget
mangka bangsanipun tiyang islam piyambak,mangka bangsane wong islam dhewe
sepen dhateng karekat anglampahi pandamel,sekadar ngatasi kanggo nindakake kerja
ingkang makaten punika,sing kaya ngono kuwi
tiyang jawi taksih kathah ingkang,wong jawa isih akeh sing
maiben dhateng wewatekanipun bangsa kulit,ora ngerti bab urutane bangsa kulit
pethak panggraitanipun anggenipun purun tetulung,putih cara ngewangi
dhateng jawi inggih wonten melikipun,marang jawa ya ana sing melu
inggih manawi para pangajenging agami,ya maneh para panguasa agama
wangsul kacihnan sanesipun punapa inggih,balik kapilih liyane apa ya
meksa boten kagega,maksa ora kaget
sumangga kula aturi dhateng bandhung,sumangga kula aturi dhateng bandhung
kula aturi mriksani panggenan pamulasara,kula aturi mriksani panggonan pamulasara
tuwin pamredinipun tiyang calaina kawastanan,lan pamredinipun tiyang calaina kawastanan
blindeninstituut ingkang tetulung dhateng sesakit,blindeninstituut sing nulungi kanggo wong sing sakit
mripat anama tuwan dr westhoff,mripat anama tuwan dr westhoff
ingkang kabebahan mulang kawruh sakolahan,sing kabebanan mulang kawruh sakolahan
anama tuwan volkerts ing wulan,anama tuwan volkerts ing wulan
juli isinipun instituut punika,juli isinipun institusi iki
tiyang walandi langkung tiyang jawi,wong walandi luwih akeh tinimbang wong jawa
tuwin cina langkung saking,lan cina luwih akeh saka
sadaya punika kapresudi dhateng kasagedan,sadaya iki kapresudi marang kasagedan
maos etang gendhing musik damel,maos etang gendhing musik damel
abrag abrag sasaminipun,abrag abrag sasaminipun
cekakipun kaulig supados sageda angsal,cekakipun kaulig supaya bisa angsal
tedha medal saking kaskayanipun piyambak,tedha metu saka kaskayan  dhewe
sanajan mawi pitulunganing liyan inggih,sanajan nganggo pitulungan  wong liyan ya
namung sawatawis kemawon sampun ngantos,namung sawatara wae wis nganti
kapeksa papriman salaminipun gesang dados,kapeksa papriman salamin  urip dadi
amaning tiyang sanes,aman  wong liyan
malah larenipun walandi dereng lami,malah laren  walandi ora suwe
punika wonten kalih katrimah anggenipun,iku ana loro katrimah anggon
iksamen kleinmabtenaar kula mireng panjenenganipun,iksamen kleinmabtenaar kula ngrungokake panjenengan
tuwan dr westhoff yuswanipun sampun,tuwan dr westhoff yuswan  wis
sawidak taun ewadene teksih kiyat,sawidak taun ewad n  teksih kiyat
sarta prigel angupakara mripat sakit,lan prigel ngupakara mripat sakit
sarana dedamel ingkang landhep,sarana dedamel sing landhep
kula gadhah bakyu nak sadherek,kula duw  bakyu nak sadherek
anggenipun boten sumerep tiyang watawis,anggon  ora ngerti wong watwis
tigang taun ingkang suwau boten,tigang taun sing suw  ora
anggega rembag kula mripatipun dipun,anggega rembag kula mripat  dipun
jampeni cara jawi saya lami saya sanget,jampeni cara jawi saya lami saya banget
sareng kagarap tuwan dr weshoff,sareng kagarap tuwan dr westhoff
namung kalih dasa dinten saras,namung kalih dasa dinten saras
o kados punapa raosing manahipun,o kados punapa raosing manah
boten beda kalihan tiyang ingkang saged,ora beda karo wong sing bisa
luwar saking kunjara peteng,luwar saka kunjara peteng
salaminipun gesang boten badhe supe,salamin  urip ora bakal supe
dhateng kasaenaning panjenenganipun tuwan dr westhoff wau,dhateng kasaenaning panjenenganipun tuwan dr westhoff wau
saben tiyang jawi ingkang kadunungan,saben wong jawa sing nduweni
kawruh sawatawis mesthinipun sampun mireng,kawruh sawatara mesthi wis krungu
ing nagari walandi kathah tuwan,ing nagari walandi akeh tuwan
tuwan ingkang aparing pitulungan rembag,tuwan sing maringi pitulungan rembag
utawi yatra dhateng lare jawi,utawa yatra marang bocah jawa
ingkang mresudi kasagedan ing nagari ngriku,sing mresudi kasagedan ing nagari ngriku
kados ta panjenenganipun tuwan mr,kaya ta panjenenganipun tuwan mr
van deventer malah samangke panjenenganipun,van deventer malah saiki panjenenganipun
pinuju lelana ing tanah indhiya ngriki,pinuju lelana ing tanah indhiya ngriki
saupami panjenenganipun boten karsa tetulung,saupama panjenenganipun ora kersa nulungi
pinten pinten lare jawi ingkang,pinten pinten bocah jawa sing
badhe mandheg boten saged anglajengaken sedyanipun,badhe mandheg ora bisa nerusake sedyan
anggenipun angajawi kalihan angrembag badhe,anggon  ngajarake lan ngrembag badh
ngwontenaken pamulangan kangge lare estri,ngwontenake pamulangan kanggo bocah wadon
tindakipun kalihan garwanipun kula sampun amerlokaken sowan,tindak  lan garwan  kula wis amerlokake sowan
o dene wonten priyantun makaten,o dene ana priya kaya ngono
solah wewatekanipun alus ing solah,solah wewatekan  alus ing solah
tingkah sareh ing pamuwus limpad,tingkah sareh ing pamuwus limpad
ing pambudi luhur ing panggayuh,ing pambudi luhur ing panggayuh
mangga kanca kula jawi melik,mangga kanca kula jawa melik
punapa panjenenganipun dhateng kula bangsa,punapa panjenenganipun dhateng kula bangsa
mlarat panjenenganipun sampun,mlarat panjenenganipun wis
sugih singgih,sugih singgih
malah tuwan mr van deventer,malah tuwan mr  van deventer
sampun angandharaken pamanggihipun boten prayogi,wis ngandharake pamanggih  ora prayogi
manawi tiyang jawi kaudi manjinga,manawa wong jawa kaudi manjinga
ing agami srani,ing agama srani
samangke kados sampun cekap anggen,saiki kaya wis cekap anggon
kula ngaturi pratandha dhateng bangsa,kula ngaturi pratandha marang bangsa
jawi manawi bangsa kulit pethak,jawa manawa bangsa kulit pethak
watekipun purun adamel sae dhateng tiyang sanes,watekipun purun adamel sae marang wong liyan
saking pamanggih kula mila saged,saking pamanggih kula mila bisa
makaten jalaranipun ingkang prelu piyambak,makaten jalaranipun ingkang prelu piyambak
anggenipun namung bojo satunggal boten,anggen  mung bojone siji ora
wayuh kalih tiga sakawan,wayuh loro telu papat
manawi bangsa eropah kasinungan bandha,menawi bangsa  ropa kasinungan bandha
utawi pamedal kathah anakipun boten,utawa pamedal akeh anak  ora
ombol sanajan taksih ngrembag bebahanipun,ombol sanajan isih ngrembug bahan
piyambak yatranipun taksih saged tirah,piyambak yatran  isih bisa turu
kenging kaangge suka pitulungan dhateng,kenging kanggo suka pitulungan kanggo
liyan ingkang bangsa luhur sakolahipun,liyan sing bangsa luhur sekolah
manawi papikulan piyambak sampun mentas,menawi papikulan  piyambak wis mentas
sadaya mangka taksih bagas kasarasan,sadayan  banjur isih bagas kas hatan
kakiyatanipun kangge ngudi kawruh supados langkung inggil,kakiyatan  kanggo ngudi kawruh supaya luwih dhuwur
kawruhipun kadanakaken minangka oboring tiyang,kawruh  kadanakake minangka oboring wong
ingkang lumampah ing pepeteng kangge,sing lumaku ing pepeteng kanggo
tatulung dhateng sadhengah bangsa ingkang,tulung marang sawijin  bangsa sing
wonten salebeting kasusahan,ana ing kasusah
wangsul bangsa kula jawi bojo,wangsul bangsa kula jawi bojo
sontan santun utawi tansah ngenemaken,sontan santun utawa tansah ngenemak
sangsaya mindhak umur papikulanipun sangsaya,sangsara tambah umur papikulan  tambah
mindhak awrat mangga kagaliha,tambah abot mangga kagaliha
amargi sangsaya sepuh kakiyatan suda,amarga tambah sepuh kakiyatan suda
tandhingipun sangsaya enem anakipun saya,tandhing  tambah enem anak  saya
wewah kathah saya sepuh saya ribut,wewah akeh saya sepuh saya ribut
murih sageda andhangani semah enem,murih bisa andhangani semah enem
ing kabatosanipun warni warni jampi,ing kabatosan  warni warni jampi
ingkang lumebet ing awakipun wekasan,sing mlebu ing awak  wekasan
dados sakit dereng wancinipun sampun,dadi lara durung waktun  wis
athuyuk thuyuk ros rosan gumeter,athuyuk thuyuk ros rosan gumeter
boyok pegel ajegan,boyok pegel ajegan
tiyang ingkang gadhah bojo kathah,wong sing duw  bojo akeh
tumrapipun abdi gupremen ingkang nyepeng,tumrap  abdi gupremen sing nyekel
panguwasa kathah sanget awonipun,panguwasa akeh banget awon
manawi kakirangan panguwasa wau kangge,menawi kekirangan panguwasa kuwi kanggo
sarana ngupados yatra dhateng kalerehanipun,sarana nggoleki yatra marang kalerehan
temahan tiyang wau ical pangkatipun,temahan wong kuwi ilang pangkat
makaten ugi saking padamelan tumrapipun,kaya ngono uga saka padamelan tumrap
tiyang gadhah bojo kathah inggih,wong sing duw  bojo akeh ya
boten sregep katungkul alelangen kalihan semahipun,ora sregep katungkul alelangan karo semah
dereng lami punika wonten pangageng,durung suwi iki ana pangageng
jawi kapeksa nyuwun lereh jalaran,jawi kapeksa nyuwun lereh amarga
saking kathahing ampeyan ngantos supe,saking kathah  ampeyan nganti supe
babarpisan dhateng kuwajibanipun,babarpisan marang kuwajiban
kadospundi tiyang nengenaken dhateng pawestri,kados pundi wong ngenggo marang pawestri
saged mikir dhateng kawruh saged,bisa mikir marang kawruh bisa
urun urun rembag dhateng nagari dhateng sasami,urun urun rembug marang nagara marang sasami
sanajan tiyang wau sugih barang,sanajan wong kuwi sugih barang
darbekipun inggih kacadhang dhateng anak,duw  duw  inggih kadhang marang anak
anakipun kalihan bojonipun sadaya boten,anak  karo bojon  kabeh ora
badhe kolu dhateng sanes,bakal kolu marang liyane
sampun malih tiyang mlarat sageda,wis ora malih wong mlarat bisa
adamel kasaenan ngrembag rayatipun piyambak,nggawe kasaenan ngrembug rakyat  piyambak
kemawon boten kacekap,kemawon ora kecap
mila sadaya pakempalan ingkang kaadegaken,mila kabeh pakempalan sing kaadegak
ing bangsa jawi kaupamekna bayi,ing bangsa jawi kaupamekna bayi
sagedipun nangis sawatawis sora manawi,bisa nangis sawatara swara manawa
nembe jebrol kemawon,nembe jebrol kemawon
mindhak dinten mindhak lerek lerek,mindhak dina mindhak lerek lerek
